853810"2018902021"Repeat Offender"4021 9TH ST, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"GLENDALE PARK"4021 9TH ST"MARRERO"W"
742651"2016910955"Repeat Offender"2313 AIMEE ST, HARVEY"5/26/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/26/2016"HARVEY CANAL"2313 AIMEE ST"HARVEY"W"DEMAND LETTER"09/07/2016"DEMAND LETTER"09/07/2016"MAIL CORRESPONDANCE"06/13/2016"MAIL CORRESPONDANCE"06/09/2016"BILLED"05/27/2016"COMPLAINT ENTERED/DATE"05/26/2016"COMPLAINT RECEIVED"05/26/2016"PROPERTY CUT BY PARISH CONTRACTOR"05/12/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/12/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
737941"2016909047"Repeat Offender"2313 AIMEE ST, HARVEY"5/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/04/2016"HARVEY CANAL"2313 AIMEE ST"HARVEY"W"DEMAND LETTER"08/15/2016"DEMAND LETTER"08/15/2016"BILLED"05/11/2016"COMPLAINT ENTERED/DATE"05/04/2016"COMPLAINT RECEIVED"05/04/2016"ADVALOREM TAX ORDINANCE"05/03/2017"PROPERTY CUT BY PARISH CONTRACTOR"04/21/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"04/21/2016"
737944"2016909049"Repeat Offender"2313 AIMEE ST, HARVEY"5/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/04/2016"HARVEY CANAL"1700 Block PAILET AVE"HARVEY"W"
720225"2016902296"Repeat Offender"2313 AIMEE ST, HARVEY"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"HARVEY CANAL"2313 AIMEE ST"HARVEY"W"COMMENT"07/18/2016"LETTER RETURNED"07/15/2016"DEMAND LETTER"07/14/2016"DEMAND LETTER"07/14/2016"DEMAND LETTER"07/14/2016"DEMAND LETTER"07/14/2016"COMMENT 2"07/07/2016"COMMENT"07/07/2016"MAIL CORRESPONDANCE"07/07/2016"COMMENT"06/29/2016"COMMENT"06/24/2016"COMMENT"06/22/2016"ADVALOREM TAX ORDINANCE"05/03/2017"BILLED"04/28/2016"COMMENT"04/18/2016"PROPERTY CUT BY PARISH CONTRACTOR"03/31/2016"COMMENT"02/19/2016"INSPECTION COMPLETED/DATE"02/18/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
854007"2018901627"Repeat Offender"10 AIRLIE ST, HARVEY"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"JACQUELINE COURT"10 AIRLIE ST"HARVEY"W"
853698"2018902070"Repeat Offender"8 AIRLIE ST, HARVEY"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"JACQUELINE COURT"8 AIRLIE ST"HARVEY"W"
849318"2017924404"Repeat Offender"8 AIRLIE ST, HARVEY"11/14/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"11/14/2017"JACQUELINE COURT"8 AIRLIE ST"HARVEY"W"DEMAND LETTER"01/26/2018"DEMAND LETTER"01/26/2018"
849325"2017924406"Repeat Offender"10 AIRLIE ST, HARVEY"11/14/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"11/14/2017"JACQUELINE COURT"10 AIRLIE ST"HARVEY"W"DEMAND LETTER"01/26/2018"DEMAND LETTER"01/26/2018"DEMAND LETTER"01/26/2018"DEMAND LETTER"01/26/2018"
832476"2017918557"Repeat Offender"8 AIRLIE ST, HARVEY"8/22/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/22/2017"JACQUELINE COURT"8 AIRLIE ST"HARVEY"W"COMPLAINT RECEIVED"08/22/2017"PROPERTY CUT BY PARISH CONTRACTOR"07/29/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/29/2017"
828245"2017916940"Repeat Offender"10 AIRLIE ST, HARVEY"8/4/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/04/2017"JACQUELINE COURT"10 AIRLIE ST"HARVEY"W"DEMAND LETTER"10/26/2017"COMMENT"09/21/2017"COMPLAINT ENTERED/DATE"08/04/2017"COMPLAINT RECEIVED"08/04/2017"BILLED"08/03/2017"PROPERTY CUT BY PARISH CONTRACTOR"07/05/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/05/2017"
827978"2017916825"Repeat Offender"8 AIRLIE ST, HARVEY"8/3/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/03/2017"JACQUELINE COURT"8 AIRLIE ST"HARVEY"W"COMPLAINT RECEIVED"08/03/2017"PROPERTY CUT BY PARISH CONTRACTOR"07/05/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/05/2017"
818932"2017913405"Repeat Offender"8 AIRLIE ST, HARVEY"6/26/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"06/26/2017"JACQUELINE COURT"8 AIRLIE ST"HARVEY"W"PROPERTY CUT BY PARISH CONTRACTOR"06/07/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/07/2017"
819124"2017913483"Repeat Offender"10 AIRLIE ST, HARVEY"6/26/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"06/26/2017"JACQUELINE COURT"10 AIRLIE ST"HARVEY"W"DEMAND LETTER"10/13/2017"MAIL CORRESPONDANCE"07/25/2017"BILLED"06/29/2017"COMPLAINT ENTERED/DATE"06/26/2017"COMPLAINT RECEIVED"06/26/2017"PROPERTY CUT BY PARISH CONTRACTOR"06/07/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/07/2017"
813026"2017911343"Repeat Offender"10 AIRLIE ST, HARVEY"5/31/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"05/31/2017"JACQUELINE COURT"10 AIRLIE ST"HARVEY"W"DEMAND LETTER"08/08/2017"MAIL CORRESPONDANCE"07/20/2017"BILLED"05/31/2017"COMPLAINT ENTERED/DATE"05/31/2017"COMPLAINT RECEIVED"05/31/2017"PROPERTY CUT BY PARISH CONTRACTOR"05/17/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/17/2017"
812891"2017911284"Repeat Offender"8 AIRLIE ST, HARVEY"5/30/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"05/30/2017"JACQUELINE COURT"8 AIRLIE ST"HARVEY"W"COMPLAINT RECEIVED"05/30/2017"PROPERTY CUT BY PARISH CONTRACTOR"05/17/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/17/2017"
807454"2017909237"Repeat Offender"8 AIRLIE ST, HARVEY"5/2/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"05/02/2017"JACQUELINE COURT"8 AIRLIE ST"HARVEY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"04/26/2017"COMPLAINT ENTERED/DATE"04/26/2017"COMPLAINT RECEIVED"04/26/2017"
791353"2017903532"Repeat Offender"8 AIRLIE ST, HARVEY"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"JACQUELINE COURT"8 AIRLIE ST"HARVEY"W"LETTER RETURNED"08/17/2017"COMMENT"08/01/2017"DEMAND LETTER"07/28/2017"DEMAND LETTER"07/28/2017"COMMENT"07/11/2017"COMMENT"06/09/2017"MAIL CORRESPONDANCE"05/19/2017"COMMENT"05/18/2017"COMMENT"04/28/2017"COMMENT"04/24/2017"BILLED"04/24/2017"COMMENT"04/06/2017"PROPERTY CUT BY PARISH CONTRACTOR"04/05/2017"MAIL CORRESPONDANCE"03/10/2017"COMMENT"03/08/2017"COMMENT"02/22/2017"INSPECTION SCHEDULED/DATE"02/21/2017"INSPECTION COMPLETED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
774057"2016923178"Repeat Offender"10 AIRLIE ST, HARVEY"10/20/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"10/20/2016"JACQUELINE COURT"10 AIRLIE ST"HARVEY"W"ADVALOREM TAX ORDINANCE"05/03/2017"LETTER RETURNED"03/10/2017"LETTER RETURNED"03/10/2017"LETTER RETURNED"03/02/2017"LETTER RETURNED"02/21/2017"DEMAND LETTER"02/10/2017"DEMAND LETTER"02/10/2017"DEMAND LETTER"02/10/2017"DEMAND LETTER"02/10/2017"
769387"2016921472"Repeat Offender"10 AIRLIE ST, HARVEY"9/26/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"09/26/2016"JACQUELINE COURT"10 AIRLIE ST"HARVEY"W"ADVALOREM TAX ORDINANCE"05/03/2017"LETTER RETURNED"02/21/2017"LETTER RETURNED"02/06/2017"LETTER RETURNED"01/24/2017"DEMAND LETTER"01/13/2017"DEMAND LETTER"01/13/2017"DEMAND LETTER"01/13/2017"DEMAND LETTER"01/13/2017"
748258"2016913277"Repeat Offender"10 AIRLIE ST, HARVEY"6/21/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"06/21/2016"JACQUELINE COURT"10 AIRLIE ST"HARVEY"W"MAIL CORRESPONDANCE"08/31/2016"MAIL CORRESPONDANCE"07/26/2016"MAIL CORRESPONDANCE"07/12/2016"BILLED"07/01/2016"COMPLAINT ENTERED/DATE"06/21/2016"COMPLAINT RECEIVED"06/21/2016"PROPERTY CUT BY PARISH CONTRACTOR"06/09/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/09/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
741611"2016910613"Repeat Offender"10 AIRLIE ST, HARVEY"5/23/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/23/2016"JACQUELINE COURT"10 AIRLIE ST"HARVEY"W"DEMAND LETTER"08/02/2016"MAIL CORRESPONDANCE"06/09/2016"BILLED"05/27/2016"COMPLAINT ENTERED/DATE"05/23/2016"COMPLAINT RECEIVED"05/23/2016"PROPERTY CUT BY PARISH CONTRACTOR"05/09/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/09/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
737728"2016908939"Repeat Offender"10 AIRLIE ST, HARVEY"5/3/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/03/2016"JACQUELINE COURT"10 AIRLIE ST"HARVEY"W"DEMAND LETTER"08/15/2016"MAIL CORRESPONDANCE"06/21/2016"BILLED"05/11/2016"ADVALOREM TAX ORDINANCE"05/03/2017"COMPLAINT ENTERED/DATE"05/03/2016"COMPLAINT RECEIVED"05/03/2016"PROPERTY CUT BY PARISH CONTRACTOR"04/20/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"04/20/2016"
720314"2016902400"Repeat Offender"10 AIRLIE ST, HARVEY"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"JACQUELINE COURT"10 AIRLIE ST"HARVEY"W"LETTER RETURNED"08/02/2016"LETTER RETURNED"08/01/2016"COMMENT"07/28/2016"DEMAND LETTER"07/26/2016"DEMAND LETTER"07/26/2016"DEMAND LETTER"07/26/2016"DEMAND LETTER"07/26/2016"COMMENT"07/14/2016"MAIL CORRESPONDANCE"07/06/2016"COMMENT"06/10/2016"COMMENT"05/13/2016"ADVALOREM TAX ORDINANCE"05/03/2017"BILLED"04/08/2016"COMMENT"03/24/2016"PROPERTY CUT BY PARISH CONTRACTOR"03/23/2016"COMMENT"02/19/2016"INSPECTION COMPLETED/DATE"02/18/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
854135"2018901802"Repeat Offender"3500 AIRLINE DR, METAIRIE"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"SHREWSBURY"3500 AIRLINE DR"METAIRIE"E"
767254"2016920682"Repeat Offender"3901 AIRLINE DR, METAIRIE"9/15/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"09/15/2016"LYNN PARK"700 LYNNETTE DR"METAIRIE"E"FEES PAID"08/17/2017"WAIVER"08/17/2017"BILL PAID"08/17/2017"PAYMENT RECEIVED"08/17/2017"LETTER RETURNED"02/25/2017"LETTER RETURNED"02/04/2017"LETTER RETURNED"02/04/2017"DEMAND LETTER"01/19/2017"DEMAND LETTER"01/19/2017"DEMAND LETTER"01/19/2017"
854424"2018902244"Repeat Offender"808 AIRLINE PARK BLVD, METAIRIE"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"AIRLINE PARK"808 AIRLINE PARK BLVD"METAIRIE"W"
854479"2018901555"Repeat Offender"2317 ALEX KORNMAN BLVD, HARVEY"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"WOODMERE"2317 ALEX KORNMAN BLVD"HARVEY"W"
791575"2017903089"Repeat Offender"2345 ALEX KORNMAN BLVD, HARVEY"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"WOODMERE"2345 ALEX KORNMAN BLVD"HARVEY"W"COMPLAINT CLOSED. PROPERTY REMOVED FROM REPEAT OFFENDER LIST"11/29/2017"COMMENT"11/28/2017"COMMENT"10/26/2017"COMMENT"10/11/2017"COMMENT"09/25/2017"COMMENT"08/25/2017"DEMAND LETTER"08/23/2017"COMMENT"08/03/2017"COMMENT"07/18/2017"COMMENT"06/26/2017"COMMENT"06/05/2017"COMMENT"05/08/2017"BILLED"04/28/2017"COMMENT"04/17/2017"PROPERTY CUT BY PARISH CONTRACTOR"04/07/2017"COMMENT"03/21/2017"COMMENT"02/23/2017"INSPECTION COMPLETED/DATE"02/22/2017"INSPECTION SCHEDULED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
766764"2016920484"Repeat Offender"2309 ALEX KORNMAN BLVD, HARVEY"9/14/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"09/14/2016"ROBINSON AVENUE ADDITION"344 PROFIT ST"MARRERO"W"ADVALOREM TAX ORDINANCE"05/03/2017"LETTER RETURNED"01/24/2017"DEMAND LETTER"01/20/2017"
766770"2016920485"Repeat Offender"2309 ALEX KORNMAN BLVD, HARVEY"9/14/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"09/14/2016"WOODMERE"2309 ALEX KORNMAN BLVD"HARVEY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"08/21/2016"ADVALOREM TAX ORDINANCE"05/03/2017"COMMENT"03/21/2017"COMMENT"01/30/2018"COMPLAINT CLOSED. PROPERTY REMOVED FROM REPEAT OFFENDER LIST"01/27/2017"DEMAND LETTER"01/10/2017"DEMAND LETTER"01/10/2017"
756604"2016916584"Repeat Offender"2309 ALEX KORNMAN BLVD, HARVEY"7/28/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"07/28/2016"WOODMERE"2309 ALEX KORNMAN BLVD"HARVEY"W"COMPLAINT ENTERED/DATE"07/28/2016"COMPLAINT RECEIVED"07/28/2016"PROPERTY CUT BY PARISH CONTRACTOR"06/25/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/25/2016"
743612"2016911383"Repeat Offender"2309 ALEX KORNMAN BLVD, HARVEY"6/1/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"06/01/2016"WOODMERE"2309 ALEX KORNMAN BLVD"HARVEY"W"FEES PAID"07/13/2016"WAIVER"07/13/2016"BILL PAID"07/13/2016"PAYMENT RECEIVED"07/13/2016"BILLED"06/06/2016"COMPLAINT ENTERED/DATE"06/01/2016"COMPLAINT RECEIVED"06/01/2016"PROPERTY CUT BY PARISH CONTRACTOR"05/17/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/17/2016"
720135"2016902224"Repeat Offender"2485 ALEX KORNMAN BLVD, HARVEY"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"WOODMERE"2400 Block ALEX KORNMAN BLVD"MARRERO"W"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
720230"2016902712"Repeat Offender"2309 ALEX KORNMAN BLVD, HARVEY"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"WOODMERE"2309 ALEX KORNMAN BLVD"HARVEY"W"COMMENT"09/23/2016"LIEN RELEASED"09/12/2016"COMMENT"08/23/2016"COMMENT"07/26/2016"COMMENT"07/20/2016"ADJUDICATION FINES"07/20/2016"PAYMENT RECEIVED"07/18/2016"LIEN RELEASED"07/13/2016"MAIL CORRESPONDANCE"07/06/2016"COMMENT"07/01/2016"COMMENT"06/22/2016"COMMENT"06/08/2016"COMMENT"05/11/2016"FEES PAID"05/11/2016"WAIVER"05/11/2016"BILL PAID"05/11/2016"PAYMENT RECEIVED"05/11/2016"COMMENT"05/09/2016"BILLED"04/08/2016"PROPERTY CUT BY PARISH CONTRACTOR"03/23/2016"COMMENT"02/19/2016"INSPECTION COMPLETED/DATE"02/18/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
720206"2016902706"Repeat Offender"3809 ALEXANDER LN, MARRERO"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"BARATARIA OAKS ESTATES"3809 ALEXANDER LN"MARRERO"W"COMMENT"02/17/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION COMPLETED/DATE"02/16/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
853995"2018902150"Repeat Offender"5240 ALICE ST, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"FAZANDE TRACT"5240 ALICE ST"MARRERO"W"
853944"2018901941"Repeat Offender"1524 ALLO AVE, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"ALLO"1524 ALLO AVE"MARRERO"W"
853784"2018902149"Repeat Offender"824 ALLO AVE, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"ALLO"824 ALLO AVE"MARRERO"W"
854314"2018902171"Repeat Offender"745 ALLO AVE, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"ALLO"745 ALLO AVE"MARRERO"W"
791649"2017903599"Repeat Offender"1524 ALLO AVE, MARRERO"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"ALLO"1524 ALLO AVE"MARRERO"W"COMMENT"02/23/2017"INSPECTION COMPLETED/DATE"02/22/2017"INSPECTION SCHEDULED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
791121"2017903819"Repeat Offender"824 ALLO AVE, MARRERO"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"ALLO"824 ALLO AVE"MARRERO"W"COMMENT"04/17/2017"BILLED"04/13/2017"COMMENT"03/23/2017"PROPERTY CUT BY PARISH CONTRACTOR"03/22/2017"COMMENT"02/24/2017"INSPECTION COMPLETED/DATE"02/22/2017"INSPECTION SCHEDULED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
769890"2016921670"Repeat Offender"1524 ALLO AVE, MARRERO"9/28/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"09/28/2016"ALLO"1524 ALLO AVE"MARRERO"W"PROPERTY CUT BY PARISH CONTRACTOR"09/13/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"09/13/2016"ADVALOREM TAX ORDINANCE"05/03/2017"LETTER RETURNED"03/20/2017"DEMAND LETTER"02/07/2017"DEMAND LETTER"02/07/2017"
766424"2016920326"Repeat Offender"1524 ALLO AVE, MARRERO"9/13/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"09/13/2016"ALLO"1524 ALLO AVE"MARRERO"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"08/20/2016"ADVALOREM TAX ORDINANCE"05/03/2017"COMMENT"01/30/2018"LETTER RETURNED"01/17/2017"LETTER RETURNED"01/17/2017"DEMAND LETTER"01/09/2017"DEMAND LETTER"01/09/2017"
741691"2016910636"Repeat Offender"745 ALLO AVE, MARRERO"5/23/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/23/2016"ALLO"745 ALLO AVE"MARRERO"W"ADVALOREM TAX ORDINANCE"05/03/2017"COMPLAINT CLOSED. PROPERTY REMOVED FROM REPEAT OFFENDER LIST"01/26/2017"
739488"2016909777"Repeat Offender"1524 ALLO AVE, MARRERO"5/11/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/11/2016"ALLO"1524 ALLO AVE"MARRERO"W"SCHEDULED ADJUDICATION HEARING"07/05/2016"MAIL CORRESPONDANCE"06/03/2016"BILLED"05/18/2016"COMPLAINT ENTERED/DATE"05/11/2016"COMPLAINT RECEIVED"05/11/2016"ADVALOREM TAX ORDINANCE"05/03/2017"PROPERTY CUT BY PARISH CONTRACTOR"05/02/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/02/2016"COMMENT"01/26/2018"
720548"2016902324"Repeat Offender"1524 ALLO AVE, MARRERO"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"ALLO"1524 ALLO AVE"MARRERO"W"COMMENT"10/24/2016"COMMENT"09/16/2016"COMMENT"08/23/2016"COMMENT"07/26/2016"COMMENT"07/14/2016"BILL PAID"07/08/2016"WAIVER"07/08/2016"JUDGMENT RENDERED"07/08/2016"MAIL CORRESPONDANCE"07/07/2016"COMMENT"07/05/2016"SCHEDULED ADJUDICATION HEARING"07/05/2016"COMMENT"06/22/2016"COMMENT"06/14/2016"COMMENT"05/10/2016"BILLED"04/28/2016"PROPERTY CUT BY PARISH CONTRACTOR"04/07/2016"COMMENT"02/17/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION COMPLETED/DATE"02/16/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"COMMENT"01/26/2018"
720279"2016902401"Repeat Offender"745 ALLO AVE, MARRERO"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"ALLO"745 ALLO AVE"MARRERO"W"LETTER RETURNED"07/11/2016"DEMAND LETTER"06/23/2016"COMMENT"06/22/2016"COMMENT"06/14/2016"ADVALOREM TAX ORDINANCE"05/03/2017"BILLED"04/08/2016"PROPERTY CUT BY PARISH CONTRACTOR"03/18/2016"COMMENT"02/17/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION COMPLETED/DATE"02/16/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"COMPLAINT CLOSED. PROPERTY REMOVED FROM REPEAT OFFENDER LIST"01/03/2017"
720351"2016902639"Repeat Offender"2500 ALLYSON LN, MARRERO"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"BENT TREE PARK PHASE IV"2517 ALLYSON LN"MARRERO"W"INSPECTION SCHEDULED/DATE"02/16/2016"COMMENT"02/12/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"OWNER NOTICE - WEEDS & TRASH"02/10/2016"OWNER NOTICE - WEEDS & TRASH"02/10/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
853823"2018901619"Repeat Offender"7829 ALMA ST, BRIDGE CITY"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"HARBOR ESTATES"7829 ALMA ST"BRIDGE CITY"W"
853812"2018901882"Repeat Offender"7800 ALMA ST, BRIDGE CITY"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"HARBOR ESTATES"7800 ALMA ST"BRIDGE CITY"W"
843105"2017922306"Repeat Offender"7800 ALMA ST, BRIDGE CITY"10/10/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"10/10/2017"HARBOR ESTATES"7800 ALMA ST"BRIDGE CITY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"09/16/2017"
831346"2017918147"Repeat Offender"7800 ALMA ST, BRIDGE CITY"8/17/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/17/2017"HARBOR ESTATES"7800 ALMA ST"BRIDGE CITY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/31/2017"
831174"2017918081"Repeat Offender"7829 ALMA ST, BRIDGE CITY"8/16/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/16/2017"HARBOR ESTATES"7829 ALMA ST"BRIDGE CITY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/31/2017"
